"Story","Title","Result","Date","Stability","Duration (s)"
"Search Engine check for keywords","User must have to see the keyword search result","SUCCESS","2023-02-11T09:27:48.7095873+13:00[Pacific/Auckland]","0.0","30.73"
"SignIn Feature as a registered user","Registered user sees the dashboard","SUCCESS","2023-02-08T18:09:20.8525148+13:00[Pacific/Auckland]","0.0","13.07"
